국가유산종목,문화재명(국문),문화재명(한자),시도명,시군구명,관리자,종목코드,시도코드,관리번호,경도,위도
보물,용봉사 영산회 괘불탱,龍鳳寺 靈山會 掛佛幀,충남,홍성군,용봉사,12,34,0012620000000,126.6532775,36.6496211
보물,수덕사 노사나불 괘불탱,修德寺 盧舍那佛 掛佛幀,충남,예산군,수덕사,12,34,0012630000000,126.6208122,36.6631975
보물,개심사 영산회 괘불탱,開心寺 靈山會 掛佛幀,충남,서산시,개심사,12,34,0012640000000,126.5903434,36.7466728
보물,금당사 괘불탱,金塘寺 掛佛幀,전북,진안군,금당사,12,35,0012660000000,127.3909587,35.7476622
보물,안국사 영산회 괘불탱,安國寺 靈山會 掛佛幀,전북,무주군,안국사,12,35,0012670000000,127.6917961,35.9439293
보물,내소사 영산회 괘불탱,來蘇寺 靈山會 掛佛幀,전북,부안군,내소사,12,35,0012680000000,126.5873047,35.6174818
보물,개암사 영산회 괘불탱 및 초본,開巖寺 靈山會 掛佛幀 및 草本,전북,부안군,개암사,12,35,0012690000000,126.6499048,35.6627391
보물,은해사 괘불탱,銀海寺 掛佛幀,경북,영천시,은해사,12,37,0012700000000,128.7593287,36.0036716
보물,수도사 노사나불 괘불탱,修道寺 盧舍那佛 掛佛幀,경북,영천시,수도사,12,37,0012710000000,128.7188708,36.0389433
보물,불영사 영산회상도,佛影寺 靈山會上圖,경북,울진군,불영사,12,37,0012720000000,129.2736077,36.9409496
보물,완주 송광사 소조석가여래삼불좌상 및 복장유물,完州 松廣寺 塑造釋迦如來三佛坐像 및 腹藏遺物,전북,완주군,송광사,12,35,0012740000000,127.2418886,35.8855161
보물,인제 한계사지 남 삼층석탑,麟蹄 寒溪寺址 南 三層石塔,강원,인제군,인제군,12,51,0012750000000,128.341127981131,38.1206509545742
보물,인제 한계사지 북 삼층석탑,麟蹄 寒溪寺址 北 三層石塔,강원,인제군,인제군,12,51,0012760000000,128.340563076393,38.1210902447278
보물,동해 삼화사 삼층석탑,東海 三和寺 三層石塔,강원,동해시,삼화사,12,51,0012770000000,129.014503508023,37.4635746334269
보물,북장사 영산회 괘불탱,北長寺 靈山會 掛佛幀,경북,상주시,북장사,12,37,0012780000000,128.0808102,36.4378734
보물,죽림사 세존 괘불탱,竹林寺 世尊 掛佛幀,전남광주,나주시,죽림사,12,36,0012790000000,126.8704309,35.0399714
보물,포항 오어사 동종,浦項 吾魚寺 銅鍾,경북,포항시,오어사,12,37,0012800000000,129.3688714,35.9263094
